0.75	2.09203e-07	1.38825e-08
1.25	3.14173e-07	1.55652e-08
1.75	6.3379e-07	1.46455e-08
2.25	1.31451e-06	1.47822e-08
2.75	2.0311e-06	1.59915e-08
3.25	4.30073e-06	2.05165e-08
3.75	7.95235e-06	2.55822e-08
4.25	1.01446e-05	2.77501e-08
4.75	9.62439e-06	2.63883e-08
5.25	7.75534e-06	2.31982e-08
5.75	5.66022e-06	1.95707e-08
6.25	4.02889e-06	1.6308e-08
6.75	2.74357e-06	1.33402e-08
7.25	1.8314e-06	1.08555e-08
7.75	1.2093e-06	8.76397e-09
8.25	7.80466e-07	7.06683e-09
8.75	5.22696e-07	5.76777e-09
9.25	3.53308e-07	4.74646e-09
9.75	2.47018e-07	3.955e-09
11	1.10047e-07	1.31597e-09
13	2.86915e-08	6.75722e-10
15	7.36841e-09	3.43687e-10
17	1.86215e-09	1.90196e-10
19	3.96362e-10	9.3287e-11
21	6.35675e-11	3.50455e-11
23.5	2.24356e-11	1.86281e-11
