0.75	0.00705739	6.43866e-05
1.25	0.0111306	4.02966e-05
1.75	0.00499911	1.92088e-05
2.25	0.00194127	1.01991e-05
2.75	0.000754601	5.84143e-06
3.25	0.000294121	3.46435e-06
3.75	0.00012165	2.12826e-06
4.25	5.32093e-05	1.38347e-06
4.75	2.5606e-05	9.45094e-07
5.25	1.1937e-05	6.39064e-07
5.75	6.30449e-06	4.68645e-07
6.25	3.21786e-06	3.27173e-07
6.75	1.75552e-06	8.53596e-09
7.25	1.17185e-06	6.94608e-09
7.75	7.73791e-07	5.60778e-09
8.25	4.99395e-07	4.52183e-09
8.75	3.34456e-07	3.69061e-09
9.25	2.2607e-07	3.0371e-09
9.75	1.58059e-07	2.53067e-09
11	7.04155e-08	8.42046e-10
13	1.83587e-08	4.32372e-10
15	4.7148e-09	2.19914e-10
17	1.19153e-09	1.217e-10
19	2.53619e-10	5.96913e-11
21	4.06748e-11	2.24245e-11
23.5	1.43558e-11	1.19195e-11
