2	12	5	1
2	13	68	1
3	18	41	1
3	31	50	1
3	21	58	1
3	14	61	1
7	31	7	1
7	14	63	1
5	8	6	1
5	17	10	1
5	11	15	1
5	35	18	1
5	15	32	1
5	35	37	1
5	1	39	1
5	12	43	1
5	18	80	1
0	20	12	1
0	21	12	1
0	21	13	1
0	24	16	1
0	34	16	1
0	17	17	1
0	24	17	1
0	28	17	1
0	30	17	1
0	31	17	1
0	33	17	1
0	2	20	1
0	3	20	1
0	4	20	1
0	7	20	1
0	11	20	1
0	24	20	1
0	1	21	1
0	2	21	1
0	3	21	1
0	5	21	1
0	7	21	1
0	10	21	1
0	11	21	1
0	14	23	1
0	30	25	1
0	21	28	1
0	25	28	1
0	22	32	1
0	14	33	1
0	32	35	1
0	19	37	1
0	31	37	1
0	21	39	1
0	2	46	1
0	12	47	1
0	24	49	1
0	26	50	1
0	25	51	1
0	29	57	1
0	7	58	1
0	16	58	1
0	14	59	1
0	7	60	1
0	22	61	1
0	31	61	1
0	2	62	1
0	22	63	1
1	7	1	1
1	11	1	1
1	16	1	1
1	34	1	1
1	15	2	1
1	8	12	1
1	18	18	1
1	15	20	1
1	23	21	1
1	11	24	1
1	4	26	1
1	30	26	1
1	34	28	1
1	19	30	1
1	26	32	1
1	16	33	1
1	12	36	1
1	29	36	1
1	14	37	1
1	21	38	1
1	25	39	1
1	8	40	1
1	1	41	1
1	4	45	1
1	25	45	1
1	12	46	1
1	8	48	1
1	31	48	1
1	20	58	1
1	23	58	1
1	2	59	1
1	26	62	1
1	9	63	1
1	7	70	1
1	12	70	1
1	15	70	1
1	16	70	1
1	19	70	1
1	22	70	1
1	34	70	1
2	28	1	1
2	34	1	1
2	15	9	1
2	8	10	1
2	15	10	1
2	18	26	1
2	20	26	1
2	12	27	1
2	15	27	1
2	16	27	1
2	31	27	1
2	33	27	1
2	25	28	1
2	26	28	1
2	28	28	1
2	29	28	1
2	30	28	1
2	31	28	1
2	28	29	1
2	31	29	1
2	32	29	1
2	20	37	1
2	30	38	1
2	3	40	1
2	6	40	1
2	10	40	1
2	11	40	1
2	25	40	1
2	4	41	1
2	5	41	1
2	7	41	1
2	28	41	1
2	32	41	1
2	33	41	1
2	34	41	1
2	3	42	1
2	4	42	1
2	8	42	1
2	7	43	1
2	10	43	1
2	29	44	1
2	30	45	1
2	32	45	1
2	14	52	1
2	15	52	1
2	16	52	1
2	18	52	1
2	19	52	1
2	12	53	1
2	16	53	1
2	17	53	1
2	18	53	1
2	19	53	1
2	23	53	1
2	6	54	1
2	14	54	1
2	6	55	1
2	6	58	1
2	7	58	1
2	6	59	1
2	7	59	1
2	10	61	1
2	3	65	1
2	2	66	1
2	18	70	1
3	32	7	1
3	34	7	1
3	31	8	1
3	32	8	1
3	33	8	1
3	34	8	1
3	32	9	1
3	33	9	1
3	34	9	1
3	31	10	1
3	32	10	1
3	33	10	1
3	34	10	1
3	32	12	1
3	33	12	1
3	15	13	1
3	31	13	1
3	32	13	1
3	33	13	1
3	34	13	1
3	32	14	1
3	33	14	1
3	28	23	1
3	14	28	1
3	16	28	1
3	17	28	1
3	16	30	1
3	17	30	1
3	17	31	1
3	34	31	1
3	3	34	1
3	10	34	1
3	21	35	1
3	24	39	1
3	4	40	1
3	5	40	1
3	8	40	1
3	17	43	1
3	23	43	1
3	13	46	1
3	12	47	1
3	16	47	1
3	18	47	1
3	20	47	1
3	21	47	1
3	24	52	1
3	31	52	1
3	1	54	1
3	1	57	1
3	3	58	1
3	20	58	1
3	14	59	1
3	17	59	1
3	19	59	1
3	14	60	1
3	15	60	1
3	16	60	1
3	18	60	1
3	19	60	1
3	20	60	1
3	15	61	1
3	18	61	1
3	19	62	1
3	16	63	1
3	17	63	1
3	18	63	1
3	22	63	1
3	16	64	1
3	18	64	1
3	27	64	1
3	28	64	1
3	21	65	1
3	16	67	1
3	17	67	1
3	34	68	1
7	3	1	1
7	5	1	1
7	10	1	1
7	11	1	1
7	21	1	1
7	26	1	1
7	30	1	1
7	31	1	1
7	33	1	1
7	34	1	1
7	19	12	1
7	15	13	1
7	16	13	1
7	1	24	1
7	12	24	1
7	13	24	1
7	15	24	1
7	15	30	1
7	16	30	1
7	22	32	1
7	16	33	1
7	12	34	1
7	13	34	1
7	14	34	1
